Country,movie_count,avg_score,total_gross
Argentina,8,7.6875,136243643
Aruba,1,4.9,10319915
Australia,92,6.682608696,3008909112
Austria,5,7.02,104600423
Belgium,8,7.1375,40487992
Brazil,6,7.7,99047282
Canada,190,6.134736842,6075291696
Chile,2,6.6,39117029
China,40,6.7025,8789429801
Colombia,1,7.4,12594630
Denmark,32,7.1,385565097
Finland,3,6.033333333,507581374
France,279,6.743727599,8499480043
Germany,117,6.436752137,6218590787
Greece,2,7.4,676126
Hong Kong,45,6.708888889,1655228751
Hungary,6,6.983333333,47745065
Iceland,2,6.4,4547615
India,62,7.240322581,1600905212
Indonesia,2,7.8,15715435
Iran,10,7.97,35665960
Ireland,43,6.93255814,733484414
Israel,5,6.7,12507988
Italy,61,6.704918033,666842209
Jamaica,1,6.2,9639390
Japan,81,7.224691358,3668029755
Kenya,1,7.4,3396345
Lebanon,1,8.4,64417003
Libya,1,8.3,
Malta,1,6.5,352794081
Mexico,22,6.345454545,401222870
Netherlands,12,6.666666667,69459626
New Zealand,25,7.42,6354731946
Norway,12,6.941666667,62323038
Panama,1,6.6,4978353
Philippines,3,6.333333333,1994588
Poland,4,7.275,73796398
Portugal,2,6.35,6392094
Romania,1,7.9,10174839
Russia,8,7.35,121526446
Serbia,1,6.1,652228
South Africa,8,6.4875,567187896
South Korea,35,7.162857143,1363273943
Spain,47,7.085106383,1658676204
Sweden,25,7.328,360791735
Switzerland,10,7.13,32200007
Taiwan,7,7.742857143,296105858
Thailand,6,6.733333333,52239277
Turkey,3,7.866666667,11392841
United Arab Emirates,2,6,177172266
United Kingdom,816,6.642769608,48950197427
United States of America,5475,6.257072368,4.83459E+11
Vietnam,2,6.85,7457177
Grand Total,7668,6.390410959,5.87106E+11
